City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,aasiaat,68.7098,-52.8699,2.39,95,100,4.91,GL,1722042699
149,yeppoon,-23.1333,150.7333,23.47,72,16,3.37,AU,1722042700
150,zacualtipan,20.65,-98.6,17.45,98,100,0.99,MX,1722042702
151,college,64.8569,-147.8028,15.18,81,100,4.45,US,1722042703
152,argo,37.6333,22.7333,24.32,63,0,1.54,GR,1722042705
153,manokwari,-0.8667,134.0833,28.3,71,25,1.56,ID,1722042706
154,buritis,-15.6178,-46.4233,19.84,44,0,0.94,BR,1722042708
155,lompoc,34.6391,-120.4579,21.62,76,0,5.14,US,1722042475
156,acarau,-2.8856,-40.12,25.25,85,12,7.14,BR,1722042710
157,lebu,-37.6167,-73.65,6.22,75,4,3.59,CL,1722042712
158,cadale,2.7603,46.3222,24.62,87,57,6.41,SO,1722042715
159,gore,-46.1028,168.9436,14.07,71,100,0.9,NZ,1722042716
160,saipan,15.1355,145.701,31.39,74,40,4.63,MP,1722042717
161,nishinoomote,30.7333,131.0,29.43,80,100,5.26,JP,1722042718
162,olonkinbyen,70.9221,-8.7187,4.86,100,100,4.16,SJ,1722042720
163,gordonvale,-17.0936,145.7842,24.97,86,97,2.11,AU,1722042721
164,stanley,54.868,-1.6985,10.95,90,0,1.54,GB,1722042723
165,zhangjiakou,40.81,114.8794,24.88,76,83,0.81,CN,1722042725
166,whitehorse,60.7161,-135.0538,20.73,47,100,7.6,CA,1722042726
167,happy valley-goose bay,53.3168,-60.3315,12.16,59,19,2.65,CA,1722042727
168,kyaikto,17.3,97.0167,25.41,93,100,3.32,MM,1722042728
169,tlalixtac de cabrera,17.0667,-96.65,22.68,68,100,4.12,MX,1722042729
170,piacabucu,-10.4056,-36.4344,22.64,80,2,2.85,BR,1722042731
171,kone,-21.0595,164.8658,23.21,51,88,3.05,NC,1722042732
172,galesong,-5.3166,119.3661,28.01,73,65,1.89,ID,1722042733
173,haiku-pauwela,20.9219,-156.3051,29.01,55,20,10.8,US,1722042734
174,callao,-12.0667,-77.15,17.46,77,100,4.63,PE,1722042735
175,takoradi,4.8845,-1.7554,23.41,93,20,3.28,GH,1722042737
176,carnarvon,-24.8667,113.6333,16.54,54,0,5.69,AU,1722042738
177,iskateley,67.6803,53.1512,8.34,77,100,3.6,RU,1722042739
178,west island,-12.1568,96.8225,25.99,89,75,1.54,CC,1722042740
179,mejit,10.2753,170.8646,27.78,82,100,9.65,MH,1722042741
180,kapuskasing,49.4169,-82.4331,20.81,48,100,4.72,CA,1722042743
181,butte,39.6499,-121.5677,37.99,14,0,4.63,US,1722042744
182,nova vicosa,-17.8919,-39.3719,22.79,78,64,2.68,BR,1722042745
183,karratha,-20.7377,116.8463,18.53,26,0,9.0,AU,1722042746
184,birao,10.2849,22.7882,21.96,96,100,2.41,CF,1722042747
185,port augusta,-32.5,137.7667,13.69,56,27,7.96,AU,1722042749
186,bonnyville,54.2668,-110.735,12.89,94,100,10.42,CA,1722042604
187,botad,22.1667,71.6667,26.72,86,100,5.38,IN,1722042751
188,qarqaraly,49.4058,75.4742,17.85,73,0,2.52,KZ,1722042752
189,villa gesell,-37.2639,-56.973,8.92,78,99,4.26,AR,1722042753
190,tazacorte,28.629,-17.9293,21.54,83,75,5.66,ES,1722042754
191,taoudenni,22.6783,-3.9836,37.64,9,4,5.16,ML,1722042756
192,quellon,-43.1167,-73.6167,7.01,84,86,8.26,CL,1722042757
193,guayaramerin,-10.8368,-65.3614,25.42,45,3,0.98,BO,1722042758
194,ribeira brava,32.65,-17.0667,24.45,85,2,1.92,PT,1722042759
195,dergachi,51.2328,48.7659,12.18,76,67,3.51,RU,1722042760
196,tolanaro,-25.0319,46.9987,17.67,79,15,1.64,MG,1722042762
197,xilin hot,43.9667,116.0333,24.79,47,0,7.42,CN,1722042763
198,taraz,42.9,71.3667,19.23,55,0,3.0,KZ,1722042516
199,miranda,3.2499,-76.2281,24.07,91,32,2.64,CO,1722042765
200,hailey,43.5196,-114.3153,26.61,25,0,5.14,US,1722042766
201,keningau,5.3378,116.1602,26.54,82,96,1.05,MY,1722042768
202,kirovskaya,46.9748,40.0402,19.31,48,3,4.72,RU,1722042769
203,taghazout,30.5426,-9.7112,21.43,79,0,1.79,MA,1722042770
204,diamantina,-18.2494,-43.6003,12.48,72,0,1.17,BR,1722042771
205,mitu,1.1983,-70.1733,22.46,96,25,0.19,CO,1722042772
206,mamuju,-2.6748,118.8885,28.93,73,4,0.57,ID,1722042773
207,ushuaia,-54.8,-68.3,0.81,93,100,6.69,AR,1722042775
208,kovdor,67.5662,30.4758,13.27,72,25,1.53,RU,1722042777
209,eenhana,-17.4667,16.3333,13.92,19,0,2.39,NA,1722042778
210,antigonish,45.6169,-61.9986,18.9,88,0,0.45,CA,1722042780
211,bom jesus,-9.0744,-44.3586,21.94,33,11,1.32,BR,1722042781
212,bridgewater,44.3835,-64.5155,14.91,89,0,1.33,CA,1722042782
213,raduzhnyy,62.0961,77.475,15.28,80,100,4.08,RU,1722042784
214,khor,47.8861,134.9464,23.72,82,100,2.89,RU,1722042785
215,omdurman,15.6445,32.4777,28.13,60,49,7.79,SD,1722042787
216,sablayan,12.8346,120.769,28.09,74,100,1.6,PH,1722042788
217,kangding,30.0513,101.9603,18.19,98,100,1.58,CN,1722042789
218,saint-philippe,-21.3585,55.7679,19.77,69,0,0.69,RE,1722042790
219,palangkaraya,-2.2,113.8333,28.23,70,57,1.55,ID,1722042792
220,usakos,-22.0,15.6,9.59,39,0,1.01,NA,1722042793
221,inhambane,-23.865,35.3833,19.66,81,12,3.37,MZ,1722042794
